"Año";"Periodo";"Grados de diferencia con el promedio  1981-2010 en todo el mundo"
"1979";"Año";"-0,23"
"1980";"Año";"-0,11"
"1981";"Año";"-0,07"
"1982";"Año";"-0,27"
"1983";"Año";"-0,08"
"1984";"Año";"-0,29"
"1985";"Año";"-0,33"
"1986";"Año";"-0,24"
"1987";"Año";"-0,08"
"1988";"Año";"-0,05"
"1989";"Año";"-0,17"
"1990";"Año";"0,06"
"1991";"Año";"0"
"1992";"Año";"-0,23"
"1993";"Año";"-0,18"
"1994";"Año";"-0,14"
"1995";"Año";"0,03"
"1996";"Año";"-0,1"
"1997";"Año";"0,03"
"1998";"Año";"0,21"
"1999";"Año";"-0,06"
"2000";"Año";"-0,06"
"2001";"Año";"0,1"
"2002";"Año";"0,2"
"2003";"Año";"0,19"
"2004";"Año";"0,12"
"2005";"Año";"0,29"
"2006";"Año";"0,24"
"2007";"Año";"0,23"
"2008";"Año";"0,1"
"2009";"Año";"0,23"
"2010";"Año";"0,32"
"2011";"Año";"0,18"
"2012";"Año";"0,23"
"2013";"Año";"0,26"
"2014";"Año";"0,3"
"2015";"Año";"0,45"
"2016";"Año";"0,63"
"2017";"Año";"0,54"
"2018";"Año";"0,46"
"2019";"Año";"0,59"
;;
;;
"Métrica":"Grados de diferencia con el promedio  1981-2010 en todo el mundo"
"Fuente":"Servicio de Cambio Climático de Copérnico (C3S)"
"Clasificación":""
"Unidad":"º C"
"Escala":"Unidades"
"EscalaFactorPotencia10":"0"
"SonDatosNumericos":"True"
;;
;;
"Url":"https://www.epdata.es/temperatura-media-cada-ano-relacion-promedio-1981-2010-todo-mundo/73a70e5f-022c-4db8-b5dc-e6fbfb2d031e"
"Titulo":"Temperatura media mundial en relación al promedio 1981-2010"
"Subtitulo":"2019 fue el segundo año más caluroso de todo el mundo"
